,likes,funny,playtime,playtime_hours,review_length
count,203.0,203.0,203.0,203.0,203.0
mean,0.58,0.19,12530.53,208.84,78.64
std,2.79,0.91,17694.85,294.92,193.03
min,0.0,0.0,12.0,0.2,10.0
25%,0.0,0.0,2278.5,37.95,20.0
50%,0.0,0.0,7037.0,117.3,36.0
75%,0.0,0.0,14534.0,242.25,74.0
max,31.0,10.0,126106.0,2101.8,2472.0
