review
"농사하고 장비 업글하고 번들모으느라 연애 못하고 결혼 못함 여기서도 한국인같이 살고 싶지않았는데...
"
걍 존나 재밌음./..... 너무 재밌어서 퇴사하고 싶음..이것만 하고싶음..
"색감 리텍, 캐릭터 리텍 꼭 끼시구 편의성 모드 꼭 하세용..ㅜ 진짜 적당히 편하고 재밌어서 중독성 야떔"
"눈 깜짝하면 게임 내 시간처럼 실제 시간도 순삭 당해버리는 게임..

처음엔 너무 악랄한데 돈이 벌리면 벌릴수록 너무 뿌듯하고 
 브금도 너무 좋고, 힐링 만점에 더 빠져들고,
숨 가쁘게 일하다가 할 게 없는 날이 오게되면 이스터에그 찾는 재미도 쏠쏠하고,
펠리컨 마을 실세의 비밀들 파헤치는 것도 재밌고,
맘에 들기가 참 어렵지만 솔로인 모든 여자 남자 다 꼬실 수 있고,......
아니,. 그니까 아무튼 그냥 너무 좋아여"
"멀티가 있긴 하지만 혼자하는게 자원을 독식해서 좋음
시야가 모니터 해상도 따라감 4k쓰니까 천리안임ㅋㅋ

나중에 여자친구 생기면 하자고 해야지"
"진심으로 최고의 게임... 어떻게 만들었을까 이런 최고의 게임을... 하다가 질리는데 또 어느 순간 생각나서 하게 됨. 500시간 동안 모드 한 번도 안 쓰고 리텍만 사용했는데도 재밌음..  진짜 겜 중에 최고라 생각함. 언젠가 대확장모드도 할테야
~~~~~~~~!~~!~!~ 업데이트 계속 해줘요~~~~~~~~~~!~! 평생 할게욤 할머니 돼서도 할거임"
"농장 운영 게임은  돌고 돌아서  이 게임이 최고임
오랜만에 접속하니까 컨텐츠도 많아지고 새로운 것도 많아져서 시간 가는줄 모르고 플레이함;"
"혼자 여우롭게 해도 좋고 멀티해도 좋은 게임.
아침에 일어나면 씨앗에 물 주는 사람 한 명, 가축 돌보는 사람 한 명,  낚시하는 사람 한 명, 나무 캐오는 사람 한 명, 광산 가는 사람 한 명, 요리 연구하는 사람 한 명, npc랑 호감도 쌓는 사람 한 명, 농장 꾸미는 사람 한 명, 번들을 비롯한 이 모든 걸 관리 감독하는 사람 한 명, 한 9명이서 하면 적당한 게임인듯."
"같이 할 사람이 없어서 혼자 하기 애매해 안하게 됐는데 아직도 가끔 땡기는 게임이에요
친구들이랑 달리 천천히 요리하고 풍차 세우고 천천히 즐기는데 다들 빨리빨리 마인드로 해서 아쉬울 따름이네요
어쨌든 한 번쯤은 찍먹 해 볼만한 게임이에요"
"평소엔 타이쿤, 시뮬레이션을 좋아하는 사람이라면 정말 즐겁게 플레이 할 수 있을것 같아요!"
만약 게임을 시작할때 삶에 지쳐 힐링하겠다는 생각으로 오게 되면 힐링이 아닌 또 다른 부업을 하게 될 것이다
"동물의 숲, 심즈 같은 부류의 게임을 즐겨하지 않지만 굉장히 재밌게 몰입해서 플레이 했다.

다른 사람이 플레이 하는걸 보면서 하지 말고 혼자서 조용히 하는게 더 재밌다. 효율 같은거 따지지 말고 끌리는 대로 플레이 하자. 이건 힐링 게임이니깐.

현실 도피 하고 싶을 때 내게 힐링이 되어주었던 게임이다."
"시간 가는줄 모르고 재밌게 즐기고 있는 게임입니다! 
이번에 업데이트도 새로 한다고 하니 더욱더 기대 되네요!"
"모바일로 파다가 리텍이나 모드 써보고 싶어서 스팀판 구매!
올타임 레전드 게임
"
공략 안보고 10시간째인데 아직 자기소개할 사람 1명을 못찾고 있음;; 아무리 찾아도 안보여요..
본인이 커플이라면 즐겁게 할만한 게임. 아니면 이 게임을 어지간히 좋아하지 않는 이상 할 동기부여가 생기지 않는 그런류의 게임.
한번 하기 시작하면 시간가는줄 모르고 하게됩니다! 오래 하진않고 아직 진행중이지만 천천히 즐기면서 하고있어요!
"처음 설명에서 배송상자는 물건을 넣어두면 새벽에 NPC가 가져가면서 판매금액을 넣어두는 설정으로 나옵니다.
그런데 실제로 플레이 해보면 배송상자에 한번 넣은 물건은 당일에도 마음대로 뺄 수가 없게 되어있어요.
제 기준에는 좀 치명적인 설정 오류네요..."
